customer_id,age,employment_length_yrs,annual_income,credit_score,dti_ratio,num_open_accounts,utilization_rate,recent_delinquencies,loan_id,loan_amount,interest_rate,loan_term_months,loan_purpose,loan_status,days_past_due,total_principal_paid,total_interest_paid,test_group,collection_segment
ca7f4434-ddde-4f34-8e24-44a77b4fada5,56,29,43168.44,581,0.36,20,0.67,3,d8223860-cc82-4a4f-8adc-24b285d41d0e,16605.77,0.2016,24,Debt Consolidation,Default,144,3106.96,814.88,Control,Legal/Write-off
f8fcb379-2d85-48db-a995-48d1ed51aa58,69,40,64742.08,658,0.35,4,0.41,2,5ca1ea8d-8d0b-43d0-a2e4-09683a6258fb,8685.49,0.1582,24,Debt Consolidation,Current,26,1990.68,351.24,Control,Self-cure
b2a71e8e-815e-4971-8e3b-363f6a0a855b,46,22,67867.1,681,0.41,4,0.35,1,acab3b98-26a9-40ab-9705-e1192c3f675b,27907.49,0.1453,36,Auto,Default,361,97.19,37.58,Control,Legal/Write-off
bc9d11be-fbeb-43fd-9813-f699f5521df3,32,10,37696.59,573,0.24,8,0.39,2,8a742423-8d44-4153-b6bd-33d9363fd16e,15163.94,0.2061,24,Home Improvement,Paid Off,0,15163.94,6004.84,Control,No Action
6b5cf4f0-ed47-4cf7-9edb-60cbb6a0d572,60,40,71090.07,589,0.37,4,0.47,2,0ac80955-dff0-40a5-98ff-ce933fd9972f,18784.97,0.1971,24,Auto,Default,226,3616.49,1019.4,Treatment,Legal/Write-off
55320055-1217-4545-ba6f-93d2b2fc424a,25,1,62173.14,599,0.38,19,0.38,2,74ffb44d-effd-496d-8a27-7200d4a3d18e,14012.77,0.1915,60,Auto,Current,18,2032.65,1529.59,Control,Self-cure
81347fde-189f-4b47-841a-de93d2bb62bf,78,40,128066.71,662,0.24,15,0.48,0,4b2c5dc3-4aaf-4a4b-b735-70a9eee7d0f1,32283.05,0.156,24,Medical,Current,22,17874.52,3905.52,Control,Self-cure
e306aa44-6926-49ce-aea7-f3696ba4f8e8,38,14,78885.18,531,0.35,13,0.52,3,71752d5e-2ace-4918-8246-a472fdd4fb99,10746.26,0.2298,24,Debt Consolidation,Late (31-120),91,5171.1,2094.31,Treatment,High-risk Agent
4b9dc3b8-6156-46b0-a1b1-ef52e152359e,56,35,58343.01,669,0.24,5,0.49,4,bc7f0da4-63ca-44f0-9f23-1fe825ac8005,20718.9,0.152,36,Other,Default,225,5706.5,2421.43,Treatment,Legal/Write-off
846cab89-56f3-4dc1-a4f2-4b6a4d2615c0,75,40,71445.07,618,0.5,15,0.6,0,63cf73df-07ea-4448-9e5b-63e3d3a94cb9,33237.17,0.1808,36,Debt Consolidation,Paid Off,0,33237.17,14522.18,Control,No Action
96f0297a-b802-489b-9882-cdb36fd027f7,36,14,168476.96,653,0.28,18,0.4,3,33b137f3-0362-4181-a5dc-df775ed5ec19,50000.0,0.161,12,Auto,Current,6,32118.29,3844.49,Control,Self-cure
d0003196-dd05-4b2e-873f-52a5016c02f4,40,13,87111.53,519,0.39,5,0.42,0,87f7f65c-6aa6-4aa5-98db-b1a0be8e575d,28939.17,0.2366,12,Debt Consolidation,Current,28,19323.77,3903.49,Control,Self-cure
c10c38f8-a40b-4d30-b26d-72c833ef1f82,28,2,30305.61,444,0.35,18,0.23,3,260147a0-c115-445d-91d2-bb2c045b103d,15040.12,0.2788,36,Auto,Paid Off,0,15040.12,8964.84,Control,No Action
3216212b-4d54-4cb5-9f2b-02f39acf38b8,28,1,50513.41,621,0.24,10,0.64,1,c65b288c-feb8-42d9-b3f1-5bb540c91147,15999.38,0.1791,36,Debt Consolidation,Default,480,1142.15,496.19,Treatment,Legal/Write-off
c9401187-4f8e-49fd-8619-851b33890aab,41,19,46278.3,547,0.2,18,0.56,4,f41effeb-ba56-4ec2-b41d-63d1fe4dd38f,11029.62,0.2208,36,Debt Consolidation,Current,4,5137.09,2576.32,Treatment,Self-cure
8003170e-b02b-416b-b725-55a74e819735,70,40,68345.63,579,0.42,7,0.48,1,a14af895-c708-4155-b363-fc5d799fdf0b,26098.77,0.2027,12,Debt Consolidation,Late (31-120),50,12600.67,1504.02,Treatment,High-risk Agent
93304dac-ccfa-4e26-9ada-88cd26a3791e,53,27,33364.66,588,0.38,10,0.74,1,f0196a38-45a4-472e-ac86-c40eefb55666,10295.37,0.1977,24,Auto,Current,25,2545.76,703.23,Control,Self-cure
1efcf3c4-1ca9-42b5-8983-a31e43b2fa11,57,35,52262.71,559,0.29,4,0.28,3,a0cd0cff-1ea8-479f-b85b-38eb3de78971,25547.88,0.214,24,Auto,Default,455,5924.63,1597.49,Control,Legal/Write-off
b7a944c0-e6f6-4055-ad5d-537ba6616dc5,41,18,135371.47,702,0.16,22,0.43,0,bfc38ecd-2b2b-4b65-8d4e-d0d84d96fa50,50000.0,0.1334,36,Home Improvement,Current,29,29606.74,7569.93,Treatment,Self-cure
